candidate_id,rank,score,reasoning
CAND_0077337,1,0.9735,"Staff Machine Learning Engineer with 7.0 yrs at Paytm; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.95; active 25d ago; open to work."
CAND_0002025,2,0.9659,"Senior AI Engineer with 5.9 yrs at Apple; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.80; active 25d ago; open to work."
CAND_0050876,3,0.9657,"Applied ML Engineer with 6.0 yrs at Freshworks; career history describes ranking/recommendation/search work, the core of this role's intelligence-layer mandate; recruiter response 0.67; active 25d ago; open to work; based in Kolkata, West Bengal (preferred metro)."
CAND_0081846,4,0.9635,"Lead AI Engineer with 6.7 yrs at Razorpay; hands-on retrieval/ranking/search experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.73; active 48d ago; open to work."
CAND_0046525,5,0.9633,"Senior Machine Learning Engineer with 6.1 yrs at Genpact AI; built retrieval/ranking/search systems per the role descriptions, directly on-point for the JD; recruiter response 0.88; active 28d ago; open to work; based in Pune, Maharashtra (preferred metro)."
CAND_0018499,6,0.9513,"Senior Machine Learning Engineer with 7.2 yrs at Zomato; retrieval/ranking/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.61; active 38d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0041669,7,0.9511,"Recommendation Systems Engineer with 8.0 yrs at CRED; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.77; active 75d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0071974,8,0.9493,"Senior AI Engineer with 7.8 yrs at Netflix; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.76; active 65d ago; open to work."
CAND_0079387,9,0.9442,"AI Engineer with 6.9 yrs at Microsoft; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.81; active 56d ago; open to work."
CAND_0004402,10,0.9403,"AI Research Engineer with 6.0 yrs at Yellow.ai; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.83; active 26d ago; open to work; based in Delhi, Delhi (preferred metro)."
CAND_0064326,11,0.9343,"Search Engineer with 7.6 yrs at Sarvam AI; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.94; active 30d ago; open to work; based in Gurgaon, Haryana (preferred metro)."
CAND_0008425,12,0.9339,"Senior NLP Engineer with 7.8 yrs at Ola; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.66; active 56d ago; open to work; based in Kolkata, West Bengal (preferred metro)."
CAND_0081053,13,0.9316,"NLP Engineer with 5.4 yrs at Glance; built ranking/recommendation/search systems per the role descriptions, directly on-point for the JD; recruiter response 0.83; active 81d ago; open to work."
CAND_0088025,14,0.9289,"Staff Machine Learning Engineer with 8.6 yrs at Yellow.ai; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.83; active 37d ago; open to work."
CAND_0046064,15,0.9265,"Senior NLP Engineer with 8.9 yrs at Salesforce; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.78; active 55d ago; open to work."
CAND_0027691,16,0.9259,"NLP Engineer with 6.5 yrs at Haptik; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.68; active 81d ago; open to work; based in Pune, Maharashtra (preferred metro)."
CAND_0062247,17,0.9259,"AI Engineer with 7.3 yrs at Google; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.78; active 58d ago; open to work."
CAND_0011687,18,0.9255,"Senior NLP Engineer with 7.8 yrs at Niramai; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.89; active 41d ago; open to work."
CAND_0080766,19,0.9240,"Staff Machine Learning Engineer with 8.8 yrs at Salesforce; hands-on retrieval/ranking/search experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.66; active 72d ago; not flagged open-to-work."
CAND_0057563,20,0.9229,"NLP Engineer with 6.8 yrs at Locobuzz; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.83; active 60d ago; not flagged open-to-work."
CAND_0069905,21,0.9170,"Applied ML Engineer with 6.6 yrs at Sarvam AI; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.78; active 60d ago; open to work."
CAND_0043860,22,0.9138,"Junior ML Engineer with 6.1 yrs at Aganitha; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.81; active 25d ago; open to work."
CAND_0096142,23,0.9085,"Applied ML Engineer with 5.0 yrs at upGrad; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.84; active 30d ago; open to work; based in Hyderabad, Telangana (preferred metro)."
CAND_0052682,24,0.9056,"NLP Engineer with 6.6 yrs at Aganitha; hands-on ranking/recommendation/embedding experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.88; active 84d ago; open to work."
CAND_0036184,25,0.9025,"Recommendation Systems Engineer with 6.0 yrs at CRED; career history describes retrieval/recommendation/search work, the core of this role's intelligence-layer mandate; recruiter response 0.90; active 25d ago; open to work."
CAND_0044222,26,0.9024,"AI Engineer with 7.7 yrs at PolicyBazaar; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.60; active 36d ago; open to work."
CAND_0043228,27,0.8994,"Applied ML Engineer with 6.8 yrs at Zoho; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.41; active 29d ago; not flagged open-to-work; based in Chennai, Tamil Nadu (preferred metro)."
CAND_0028793,28,0.8988,"Search Engineer with 7.2 yrs at Google; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.57; active 68d ago; open to work."
CAND_0020991,29,0.8985,"Junior ML Engineer with 4.9 yrs at PhonePe; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.88; active 25d ago; open to work."
CAND_0009691,30,0.8981,"Applied ML Engineer with 6.2 yrs at LinkedIn; ranking/recommendation/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.64; active 35d ago; open to work."
CAND_0027801,31,0.8946,"NLP Engineer with 7.4 yrs at InMobi; built retrieval/recommendation/search systems per the role descriptions, directly on-point for the JD; recruiter response 0.65; active 69d ago; open to work; based in Hyderabad, Telangana (preferred metro)."
CAND_0049538,32,0.8911,"Applied ML Engineer with 5.8 yrs at Saarthi.ai; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.72; active 24d ago; not flagged open-to-work."
CAND_0006567,33,0.8895,"Senior AI Engineer with 7.9 yrs at Meta; retrieval/ranking/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.79; active 48d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0018549,34,0.8879,"Recommendation Systems Engineer with 6.8 yrs at Uber; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.73; active 53d ago; open to work."
CAND_0042100,35,0.8873,"Machine Learning Engineer with 7.3 yrs at Freshworks; career history describes ranking/recommendation/search work, the core of this role's intelligence-layer mandate; recruiter response 0.87; active 89d ago; open to work."
CAND_0044855,36,0.8865,"Senior Data Scientist with 6.6 yrs at Flipkart; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.57; active 57d ago; not flagged open-to-work."
CAND_0014440,37,0.8862,"Recommendation Systems Engineer with 6.4 yrs at CRED; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.64; active 41d ago; open to work; based in Chennai, Tamil Nadu (preferred metro)."
CAND_0010257,38,0.8821,"Senior Data Scientist with 6.5 yrs at Google; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.72; active 38d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0026532,39,0.8798,"Recommendation Systems Engineer with 4.8 yrs at Zomato; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.52; active 84d ago; open to work; based in Chennai, Tamil Nadu (preferred metro)."
CAND_0074735,40,0.8791,"Applied ML Engineer with 5.5 yrs at Rephrase.ai; ranking/recommendation/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.77; active 84d ago; open to work."
CAND_0016163,41,0.8790,"Applied ML Engineer with 6.7 yrs at Dream11; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.72; active 70d ago; open to work; based in Gurgaon, Haryana (preferred metro)."
CAND_0039383,42,0.8777,"Applied ML Engineer with 7.1 yrs at Meesho; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.61; active 93d ago; open to work; based in Gurgaon, Haryana (preferred metro)."
CAND_0070398,43,0.8765,"Machine Learning Engineer with 7.2 yrs at Genpact AI; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.60; active 67d ago; open to work."
CAND_0010149,44,0.8760,"ML Engineer with 6.9 yrs at Glance; built ranking/recommendation/nlp systems per the role descriptions, directly on-point for the JD; recruiter response 0.82; active 26d ago; open to work; based in Bangalore, Karnataka (preferred metro)."
CAND_0098846,45,0.8758,"AI Engineer with 7.6 yrs at upGrad; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.62; active 58d ago; open to work."
CAND_0058688,46,0.8749,"AI Engineer with 6.7 yrs at Vedantu; career history describes ranking/recommendation/embedding work, the core of this role's intelligence-layer mandate; recruiter response 0.74; active 84d ago; open to work."
CAND_0006557,47,0.8748,"NLP Engineer with 7.9 yrs at Paytm; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.63; active 71d ago; open to work."
CAND_0055905,48,0.8737,"Senior Machine Learning Engineer with 8.1 yrs at Flipkart; built retrieval/ranking/search systems per the role descriptions, directly on-point for the JD; recruiter response 0.87; active 34d ago; open to work; London with no relocation flag (location risk)."
CAND_0081686,49,0.8733,"Search Engineer with 6.0 yrs at Netflix; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.91; active 56d ago; not flagged open-to-work; Austin with no relocation flag (location risk)."
CAND_0005649,50,0.8719,"Senior Data Scientist with 7.4 yrs at Sarvam AI; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.57; active 67d ago; open to work; based in Delhi, Delhi (preferred metro)."
CAND_0053591,51,0.8717,"AI Engineer with 5.3 yrs at Ola; ranking/recommendation/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.81; active 34d ago; open to work; Toronto with no relocation flag (location risk)."
CAND_0096172,52,0.8706,"NLP Engineer with 5.2 yrs at Krutrim; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.47; active 48d ago; not flagged open-to-work; based in Chennai, Tamil Nadu (preferred metro)."
CAND_0043637,53,0.8704,"Junior ML Engineer with 5.5 yrs at Rephrase.ai; built retrieval/nlp systems per the role descriptions, directly on-point for the JD; recruiter response 0.92; active 27d ago; open to work; based in Delhi, Delhi (preferred metro)."
CAND_0010603,54,0.8702,"ML Engineer with 5.3 yrs at BYJU'S; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.94; active 28d ago; open to work; based in Bangalore, Karnataka (preferred metro)."
CAND_0093912,55,0.8692,"Senior Data Scientist with 5.3 yrs at Razorpay; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.66; active 40d ago; open to work."
CAND_0076163,56,0.8680,"NLP Engineer with 6.9 yrs at Ola; ranking/recommendation/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.84; active 41d ago; open to work."
CAND_0086151,57,0.8661,"Recommendation Systems Engineer with 7.7 yrs at Wysa; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.52; active 89d ago; open to work."
CAND_0072688,58,0.8644,"Data Scientist with 6.9 yrs at Niramai; career history describes retrieval/ranking/nlp work, the core of this role's intelligence-layer mandate; recruiter response 0.87; active 28d ago; open to work; based in Pune, Maharashtra (preferred metro)."
CAND_0017960,59,0.8640,"Recommendation Systems Engineer with 7.7 yrs at Nykaa; career history describes ranking/recommendation/search work, the core of this role's intelligence-layer mandate; recruiter response 0.72; active 54d ago; open to work; based in Bangalore, Karnataka (preferred metro)."
CAND_0042029,60,0.8624,"Senior Data Scientist with 6.5 yrs at Flipkart; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.67; active 68d ago; not flagged open-to-work; based in Delhi, Delhi (preferred metro)."
CAND_0037566,61,0.8610,"Machine Learning Engineer with 6.9 yrs at LinkedIn; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.50; active 61d ago; open to work; based in Bangalore, Karnataka (preferred metro)."
CAND_0052328,62,0.8603,"Recommendation Systems Engineer with 6.5 yrs at Amazon; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.79; active 81d ago; open to work; based in Pune, Maharashtra (preferred metro)."
CAND_0007009,63,0.8600,"Recommendation Systems Engineer with 7.9 yrs at Wysa; built retrieval/recommendation/search systems per the role descriptions, directly on-point for the JD; recruiter response 0.62; active 93d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0050454,64,0.8600,"AI Engineer with 6.8 yrs at Rephrase.ai; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.77; active 54d ago; open to work; based in Delhi, Delhi (preferred metro)."
CAND_0078002,65,0.8599,"Machine Learning Engineer with 6.3 yrs at Meta; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.86; active 60d ago; open to work."
CAND_0041610,66,0.8592,"Recommendation Systems Engineer with 6.7 yrs at Zoho; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.52; active 37d ago; open to work."
CAND_0083852,67,0.8571,"Data Scientist with 6.0 yrs at Mad Street Den; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.85; active 24d ago; open to work; based in Ahmedabad, Gujarat (preferred metro)."
CAND_0052335,68,0.8559,"Applied ML Engineer with 6.4 yrs at Aganitha; ranking/recommendation/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.79; active 71d ago; open to work."
CAND_0068351,69,0.8559,"Lead AI Engineer with 6.4 yrs at Sarvam AI; retrieval/ranking/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.86; active 70d ago; not flagged open-to-work; based in Delhi, Delhi (preferred metro)."
CAND_0092706,70,0.8559,"AI Research Engineer with 5.8 yrs at Unacademy; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.78; active 24d ago; open to work; based in Delhi, Delhi (preferred metro)."
CAND_0060054,71,0.8557,"AI Engineer with 6.4 yrs at Mad Street Den; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.86; active 95d ago; not flagged open-to-work."
CAND_0075249,72,0.8554,"Applied ML Engineer with 6.2 yrs at Zomato; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.82; active 72d ago; open to work; based in Ahmedabad, Gujarat (preferred metro)."
CAND_0089552,73,0.8554,"Machine Learning Engineer with 6.0 yrs at Netflix; career history describes ranking/recommendation/search work, the core of this role's intelligence-layer mandate; recruiter response 0.49; active 54d ago; not flagged open-to-work; based in Kolkata, West Bengal (preferred metro)."
CAND_0061265,74,0.8519,"Recommendation Systems Engineer with 6.6 yrs at Zoho; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.94; active 87d ago; open to work; based in Delhi, Delhi (preferred metro)."
CAND_0010685,75,0.8509,"NLP Engineer with 6.7 yrs at Rephrase.ai; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.83; active 96d ago; open to work; based in Kolkata, West Bengal (preferred metro)."
CAND_0004972,76,0.8498,"ML Engineer with 6.0 yrs at Glance; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.74; active 68d ago; not flagged open-to-work; based in Gurgaon, Haryana (preferred metro)."
CAND_0066999,77,0.8497,"Recommendation Systems Engineer with 5.9 yrs at Microsoft; ranking/recommendation/search work runs through the career history, aligning with what the JD actually needs; recruiter response 0.63; active 76d ago; open to work; based in Delhi, Delhi (preferred metro)."
CAND_0061257,78,0.8488,"Staff Machine Learning Engineer with 8.0 yrs at LinkedIn; built retrieval/ranking/search systems per the role descriptions, directly on-point for the JD; recruiter response 0.87; active 65d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0070525,79,0.8477,"Senior Software Engineer (ML) with 5.4 yrs at Mad Street Den; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.93; active 26d ago; open to work; based in Hyderabad, Telangana (preferred metro)."
CAND_0095528,80,0.8477,"Senior Data Scientist with 5.3 yrs at Netflix; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.55; active 48d ago; open to work."
CAND_0067866,81,0.8461,"Senior Software Engineer (ML) with 6.4 yrs at Tech Mahindra; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.79; active 29d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0093193,82,0.8452,"Senior Machine Learning Engineer with 7.9 yrs at Niramai; built retrieval/ranking/search systems per the role descriptions, directly on-point for the JD; recruiter response 0.61; active 63d ago; open to work; based in Bangalore, Karnataka (preferred metro)."
CAND_0018094,83,0.8445,"ML Engineer with 5.2 yrs at Mad Street Den; hands-on retrieval/nlp experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.69; active 72d ago; open to work; based in Bangalore, Karnataka (preferred metro)."
CAND_0048558,84,0.8444,"Data Scientist with 6.7 yrs at Rephrase.ai; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.80; active 24d ago; open to work; based in Noida, Uttar Pradesh (preferred metro)."
CAND_0054546,85,0.8439,"AI Research Engineer with 4.9 yrs at Razorpay; hands-on retrieval/search/nlp experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.92; active 27d ago; open to work; based in Pune, Maharashtra (preferred metro)."
CAND_0024147,86,0.8432,"ML Engineer with 5.9 yrs at Ola; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.84; active 78d ago; open to work."
CAND_0018722,87,0.8414,"Recommendation Systems Engineer with 6.6 yrs at Saarthi.ai; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.79; active 57d ago; open to work."
CAND_0091909,88,0.8413,"Machine Learning Engineer with 6.9 yrs at Rephrase.ai; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.65; active 94d ago; open to work; based in Bangalore, Karnataka (preferred metro)."
CAND_0083307,89,0.8410,"Search Engineer with 7.8 yrs at CRED; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.70; active 91d ago; open to work."
CAND_0033987,90,0.8388,"ML Engineer with 6.8 yrs at Wysa; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.71; active 88d ago; open to work; based in Delhi, Delhi (preferred metro)."
CAND_0099401,91,0.8383,"NLP Engineer with 7.7 yrs at Dream11; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.42; active 24d ago; not flagged open-to-work; based in Ahmedabad, Gujarat (preferred metro)."
CAND_0094056,92,0.8356,"NLP Engineer with 5.9 yrs at Rephrase.ai; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.82; active 65d ago; not flagged open-to-work; based in Chennai, Tamil Nadu (preferred metro)."
CAND_0098780,93,0.8347,"AI Research Engineer with 5.9 yrs at Zomato; career history describes retrieval/recommendation/search work, the core of this role's intelligence-layer mandate; recruiter response 0.57; active 63d ago; open to work; based in Bangalore, Karnataka (preferred metro)."
CAND_0024620,94,0.8340,"AI Engineer with 5.9 yrs at PharmEasy; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.41; active 69d ago; open to work."
CAND_0047721,95,0.8340,"Senior Data Scientist with 7.0 yrs at Microsoft; built retrieval/ranking/recommendation systems per the role descriptions, directly on-point for the JD; recruiter response 0.49; active 76d ago; not flagged open-to-work."
CAND_0015582,96,0.8334,"ML Engineer with 4.4 yrs at Genpact AI; hands-on ranking/recommendation/nlp experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.82; active 27d ago; open to work."
CAND_0028422,97,0.8318,"Junior ML Engineer with 5.5 yrs at Yellow.ai; hands-on retrieval/ranking/recommendation experience in prior roles, matching the retrieval/ranking remit; recruiter response 0.76; active 36d ago; open to work; based in Chennai, Tamil Nadu (preferred metro)."
CAND_0068811,98,0.8314,"Applied ML Engineer with 8.0 yrs at Freshworks; retrieval/ranking/recommendation work runs through the career history, aligning with what the JD actually needs; recruiter response 0.42; active 30d ago; open to work; based in Pune, Maharashtra (preferred metro)."
CAND_0049896,99,0.8309,"Search Engineer with 7.3 yrs at Unacademy; career history describes retrieval/ranking/recommendation work, the core of this role's intelligence-layer mandate; recruiter response 0.43; active 34d ago; open to work."
CAND_0064256,100,0.8299,"Junior ML Engineer with 6.4 yrs at BYJU'S; career history describes retrieval/ranking/search work, the core of this role's intelligence-layer mandate; recruiter response 0.86; active 29d ago; open to work; based in Kolkata, West Bengal (preferred metro)."
